Path,Server,Location,Branch,SubBranch,ControlProgram,Point,Zone,BacnetAddress,BacnetDevId,BacnetObjectType,PointType,ComponentId,PathMappingsId
#120h1_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120H-1,"Room Occupied",4,20606:41,937,BBV,3,17,5
#120h1_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120H-1,"htg setpt",4,20606:41,287,BAV,3,17,4
#120h1_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120H-1,"clg setpt",4,20606:41,286,BAV,3,17,3
#120h1_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120H-1,"Zone Temp",4,20606:41,448,BAV,3,17,7
#120h1_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120H-1,"Supply Air",4,20606:41,1462,BAV,3,17,6
#120h2_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120H-2,"Air Flow Feedback",4,20606:41,1466,BAV,3,18,2
#120h2_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120H-2,"Room Occupied",4,20606:41,944,BBV,3,18,5
#120h2_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120H-2,"htg setpt",4,20606:41,293,BAV,3,18,4
#120h2_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120H-2,"clg setpt",4,20606:41,292,BAV,3,18,3
#120h2_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120H-2,"Zone Temp",4,20606:41,449,BAV,3,18,7
#120h2_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120H-2,"Supply Air",4,20606:41,1475,BAV,3,18,6
#120j1_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120J-1,"Air Flow Feedback",4,20606:41,1427,BAV,3,19,2
#120j1_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120J-1,"Room Occupied",4,20606:41,923,BBV,3,19,5
#120j1_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120J-1,"htg setpt",4,20606:41,275,BAV,3,19,4
#120j1_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120J-1,"clg setpt",4,20606:41,274,BAV,3,19,3
#120j1_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120J-1,"Zone Temp",4,20606:41,446,BAV,3,19,7
#120j1_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120J-1,"Supply Air",4,20606:41,1436,BAV,3,19,6
#120j2_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120J-2,"Air Flow Feedback",4,20606:41,1440,BAV,3,20,2
#120j2_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120J-2,"Room Occupied",4,20606:41,930,BBV,3,20,5
#120j2_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120J-2,"htg setpt",4,20606:41,281,BAV,3,20,4
#120j2_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120J-2,"clg setpt",4,20606:41,280,BAV,3,20,3
#120j2_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120J-2,"Zone Temp",4,20606:41,447,BAV,3,20,7
#120j2_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120J-2,"Supply Air",4,20606:41,1449,BAV,3,20,6
#1213b1_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","Second Floor","Short bar",Room-213B-1,"Air Flow Feedback",4,20606:30,1492,BAV,3,21,2
#1213b1_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","Second Floor","Short bar",Room-213B-1,"Room Occupied",4,20606:30,1007,BBV,3,21,5
#1213b1_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","Second Floor","Short bar",Room-213B-1,"htg setpt",4,20606:30,86,BAV,3,21,4
#1213b1_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","Second Floor","Short bar",Room-213B-1,"clg setpt",4,20606:30,61,BAV,3,21,3
#1213b1_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","Second Floor","Short bar",Room-213B-1,"Zone Temp",4,20606:30,480,BAV,3,21,7
#1213b1_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","Second Floor","Short bar",Room-213B-1,"Supply Air",4,20606:30,1501,BAV,3,21,6
#1c1a_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C1A,"Air Flow Feedback",4,20606:41,108,BAV,3,22,2
#1c1a_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C1A,"Room Occupied",4,20606:41,762,BBV,3,22,5
#1c1a_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C1A,"htg setpt",4,20606:41,137,BAV,3,22,4
#1c1a_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C1A,"clg setpt",4,20606:41,128,BAV,3,22,3
