Path,Server,Location,Branch,SubBranch,ControlProgram,Point,Zone,BacnetAddress,BacnetDevId,BacnetObjectType,PointType,ComponentId,PathMappingsId,Point ALC
#sav-b13-e_/m310,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 West SAV-B13-E,SAV Dmpr Pos,1_2,20613:13,20,BAV,3,67,59,
#sav-b13-e_/m318,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 West SAV-B13-E,Exhaust Flow,1_2,20613:13,23,BAV,3,67,60,
#sav-b13-e_/m320,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 West SAV-B13-E,Supply Flow,1_2,20613:13,24,BAV,3,67,61,
#sav-b13-e_/m322,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 West SAV-B13-E,Flow Difference,1_2,20613:13,25,BAV,3,67,62,
#sav-b13-e_/m328,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 West SAV-B13-E,Exhaust Flow Stpt,1_2,20613:13,28,BAV,3,67,63,
#sav-b14-b/cl_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Equipment 080C SAV-B14-B,Clg%,1_2,20613:14,2,BAV,3,68,65,
#sav-b14-b/cl_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Equipment 080C SAV-B14-B,Clg Stpt,1_2,20613:14,5,BAV,3,68,67,
#sav-b14-b/ht_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Equipment 080C SAV-B14-B,Htg%,1_2,20613:14,9,BAV,3,68,66,
#sav-b14-b/ht_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Equipment 080C SAV-B14-B,Htg Stpt,1_2,20613:14,8,BAV,3,68,68,
#sav-b14-b/m277,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Equipment 080C SAV-B14-B,GEX Dmpr Pos,1_2,20613:14,3,BAV,3,68,56,
#sav-b14-b/m285,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Equipment 080C SAV-B14-B,Cool Requests,1_2,20613:14,4,BAV,3,68,57,
#sav-b14-b/m288,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Equipment 080C SAV-B14-B,Heat Requests,1_2,20613:14,7,BAV,3,68,58,
#sav-b14-b/m310,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Equipment 080C SAV-B14-B,SAV Dmpr Pos,1_2,20613:14,20,BAV,3,68,59,
#sav-b14-b/m318,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Equipment 080C SAV-B14-B,Exhaust Flow,1_2,20613:14,23,BAV,3,68,60,
#sav-b14-b/m320,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Equipment 080C SAV-B14-B,Supply Flow,1_2,20613:14,24,BAV,3,68,61,
#sav-b14-b/m322,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Equipment 080C SAV-B14-B,Flow Difference,1_2,20613:14,25,BAV,3,68,62,
#sav-b14-b/m328,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Equipment 080C SAV-B14-B,Exhaust Flow Stpt,1_2,20613:14,28,BAV,3,68,63,
#sav-b15-a/cl_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080E SAV-B15-A,Clg%,1_2,20613:15,2,BAV,3,69,65,
#sav-b15-a/cl_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080E SAV-B15-A,Clg Stpt,1_2,20613:15,5,BAV,3,69,67,
#sav-b15-a/ht_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080E SAV-B15-A,Htg%,1_2,20613:15,9,BAV,3,69,66,
#sav-b15-a/ht_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080E SAV-B15-A,Htg Stpt,1_2,20613:15,8,BAV,3,69,68,
#sav-b15-a/m277,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080E SAV-B15-A,GEX Dmpr Pos,1_2,20613:15,3,BAV,3,69,56,
#sav-b15-a/m285,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080E SAV-B15-A,Cool Requests,1_2,20613:15,4,BAV,3,69,57,
#sav-b15-a/m288,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080E SAV-B15-A,Heat Requests,1_2,20613:15,7,BAV,3,69,58,
#sav-b15-a/m310,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080E SAV-B15-A,SAV Dmpr Pos,1_2,20613:15,20,BAV,3,69,59,
#sav-b15-a/m318,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080E SAV-B15-A,Exhaust Flow,1_2,20613:15,23,BAV,3,69,60,
#sav-b15-a/m320,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080E SAV-B15-A,Supply Flow,1_2,20613:15,24,BAV,3,69,61,
#sav-b15-a/m322,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080E SAV-B15-A,Flow Difference,1_2,20613:15,25,BAV,3,69,62,
#sav-b15-a/m328,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080E SAV-B15-A,Exhaust Flow Stpt,1_2,20613:15,28,BAV,3,69,63,
#sav-b16-a_/cl_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080D SAV-B16-A,Clg%,1_2,20613:16,2,BAV,3,70,65,
#sav-b16-a_/cl_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080D SAV-B16-A,Clg Stpt,1_2,20613:16,5,BAV,3,70,67,
#sav-b16-a_/ht_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080D SAV-B16-A,Htg%,1_2,20613:16,9,BAV,3,70,66,
#sav-b16-a_/ht_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080D SAV-B16-A,Htg Stpt,1_2,20613:16,8,BAV,3,70,68,
#sav-b16-a_/m277,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080D SAV-B16-A,GEX Dmpr Pos,1_2,20613:16,3,BAV,3,70,56,
#sav-b16-a_/m285,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080D SAV-B16-A,Cool Requests,1_2,20613:16,4,BAV,3,70,57,
#sav-b16-a_/m288,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080D SAV-B16-A,Heat Requests,1_2,20613:16,7,BAV,3,70,58,
#sav-b16-a_/m310,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080D SAV-B16-A,SAV Dmpr Pos,1_2,20613:16,20,BAV,3,70,59,
#sav-b16-a_/m318,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080D SAV-B16-A,Exhaust Flow,1_2,20613:16,23,BAV,3,70,60,
#sav-b16-a_/m320,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080D SAV-B16-A,Supply Flow,1_2,20613:16,24,BAV,3,70,61,
#sav-b16-a_/m322,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080D SAV-B16-A,Flow Difference,1_2,20613:16,25,BAV,3,70,62,
#sav-b16-a_/m328,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080D SAV-B16-A,Exhaust Flow Stpt,1_2,20613:16,28,BAV,3,70,63,
#sav-b17-c_/cl_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Hallway 0C9 SAV-B17-C,Clg%,1_2,20613:17,2,BAV,3,71,65,
#sav-b17-c_/cl_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Hallway 0C9 SAV-B17-C,Clg Stpt,1_2,20613:17,5,BAV,3,71,67,
#sav-b17-c_/ht_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Hallway 0C9 SAV-B17-C,Htg%,1_2,20613:17,9,BAV,3,71,66,
#sav-b17-c_/ht_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Hallway 0C9 SAV-B17-C,Htg Stpt,1_2,20613:17,8,BAV,3,71,68,
#sav-b17-c_/m277,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Hallway 0C9 SAV-B17-C,GEX Dmpr Pos,1_2,20613:17,3,BAV,3,71,56,
#sav-b17-c_/m285,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Hallway 0C9 SAV-B17-C,Cool Requests,1_2,20613:17,4,BAV,3,71,57,
#sav-b17-c_/m288,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Hallway 0C9 SAV-B17-C,Heat Requests,1_2,20613:17,7,BAV,3,71,58,
#sav-b17-c_/m310,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Hallway 0C9 SAV-B17-C,SAV Dmpr Pos,1_2,20613:17,20,BAV,3,71,59,
#sav-b17-c_/m318,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Hallway 0C9 SAV-B17-C,Exhaust Flow,1_2,20613:17,23,BAV,3,71,60,
#sav-b17-c_/m320,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Hallway 0C9 SAV-B17-C,Supply Flow,1_2,20613:17,24,BAV,3,71,61,
#sav-b17-c_/m322,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Hallway 0C9 SAV-B17-C,Flow Difference,1_2,20613:17,25,BAV,3,71,62,
#sav-b17-c_/m328,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Hallway 0C9 SAV-B17-C,Exhaust Flow Stpt,1_2,20613:17,28,BAV,3,71,63,
#sav-b18-e_/cl_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 East SAV-B18-E,Clg%,1_2,20613:18,2,BAV,3,72,65,
#sav-b18-e_/cl_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 East SAV-B18-E,Clg Stpt,1_2,20613:18,5,BAV,3,72,67,
#sav-b18-e_/ht_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 East SAV-B18-E,Htg%,1_2,20613:18,9,BAV,3,72,66,
#sav-b18-e_/ht_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 East SAV-B18-E,Htg Stpt,1_2,20613:18,8,BAV,3,72,68,
#sav-b18-e_/m277,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 East SAV-B18-E,GEX Dmpr Pos,1_2,20613:18,3,BAV,3,72,56,
#sav-b18-e_/m285,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 East SAV-B18-E,Cool Requests,1_2,20613:18,4,BAV,3,72,57,
#sav-b18-e_/m288,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 East SAV-B18-E,Heat Requests,1_2,20613:18,7,BAV,3,72,58,
#sav-b18-e_/m310,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 East SAV-B18-E,SAV Dmpr Pos,1_2,20613:18,20,BAV,3,72,59,
#sav-b18-e_/m318,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 East SAV-B18-E,Exhaust Flow,1_2,20613:18,23,BAV,3,72,60,
#sav-b18-e_/m320,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 East SAV-B18-E,Supply Flow,1_2,20613:18,24,BAV,3,72,61,
#sav-b18-e_/m322,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 East SAV-B18-E,Flow Difference,1_2,20613:18,25,BAV,3,72,62,
#sav-b18-e_/m328,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 East SAV-B18-E,Exhaust Flow Stpt,1_2,20613:18,28,BAV,3,72,63,
#sav-b19-a/cl_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Computation 080A SAV-B19-A,Clg%,1_2,20613:19,2,BAV,3,73,65,
